noise,player_1,player_10,player_103,player_106,player_107,player_108,player_109,player_11,player_111,player_112,player_114,player_118,player_119,player_124,player_126,player_129,player_132,player_137,player_139,player_140,player_141,player_142,player_143,player_147,player_150,player_151,player_153,player_155,player_159,player_162,player_163,player_17,player_171,player_173,player_174,player_175,player_177,player_178,player_180,player_181,player_184,player_185,player_25,player_26,player_42,player_49,player_52,player_56,player_6,player_60,player_63,player_69,player_7,player_70,player_71,player_75,player_79,player_85,player_9,probend,repetitions,size,turns,Winning_strategy,Highest_avg_Score
0.657472502657255,Prober 2,Thumper,,,,,,Fool Me Once,,,,,,,,,,,,,,,,,,,,,,,,Winner12,,,,,,,,,,,Hard Tit For Tat,Resurrection,Cooperator Hunter,Bully,Fortress4,Tricky Cooperator,Opposite Grudger,Ripoff,GrudgerAlternator,Appeaser,Hard Go By Majority,Handshake,Tit For 2 Tats,,Predator,Fortress3,Level Punisher,0.666410471124838,44,101,122,Cooperator Hunter,2.38
0.685257992964537,Prober 2,Thumper,,,,,,Fool Me Once,,,,,,,,,,,,,,,,,,,,,,,,Winner12,,,,,,,,,,,Hard Tit For Tat,Resurrection,Cooperator Hunter,Bully,Fortress4,Tricky Cooperator,Opposite Grudger,Ripoff,GrudgerAlternator,Appeaser,Hard Go By Majority,Handshake,Tit For 2 Tats,,Predator,Fortress3,Level Punisher,0.684081918016111,47,101,67,GrudgerAlternator,2.45
0.702585523986856,Prober 2,Thumper,,,,,,Fool Me Once,,,,,,,,,,,,,,,,,,,,,,,,Winner12,,,,,,,,,,,Hard Tit For Tat,Resurrection,Cooperator Hunter,Bully,Fortress4,Tricky Cooperator,Opposite Grudger,Ripoff,GrudgerAlternator,Appeaser,Hard Go By Majority,Handshake,Tit For 2 Tats,,Predator,Fortress3,Level Punisher,0.652042020314275,88,101,28,Cooperator Hunter,2.43
0.521316898882327,Prober 2,Thumper,,,,,,Fool Me Once,,,,,,,,,,,,,,,,,,,,,,,,Winner12,,,,,,,,,,,Hard Tit For Tat,Resurrection,Cooperator Hunter,Bully,Fortress4,Tricky Cooperator,Opposite Grudger,Ripoff,GrudgerAlternator,Appeaser,Hard Go By Majority,Handshake,Tit For 2 Tats,,Predator,Fortress3,Level Punisher,0.036176444277262,11,101,54,Cooperator Hunter,2.36
0.480480665601294,Prober 2,Thumper,,,,,,Fool Me Once,,,,,,,,,,,,,,,,,,,,,,,,Winner12,,,,,,,,,,,Hard Tit For Tat,Resurrection,Cooperator Hunter,Bully,Fortress4,Tricky Cooperator,Opposite Grudger,Ripoff,GrudgerAlternator,Appeaser,Hard Go By Majority,Handshake,Tit For 2 Tats,,Predator,Fortress3,Level Punisher,0.416952626605665,70,101,93,Resurrection,2.31
0.806690777118679,Prober 2,Thumper,,,,,,Fool Me Once,,,,,,,,,,,,,,,,,,,,,,,,Winner12,,,,,,,,,,,Hard Tit For Tat,Resurrection,Cooperator Hunter,Bully,Fortress4,Tricky Cooperator,Opposite Grudger,Ripoff,GrudgerAlternator,Appeaser,Hard Go By Majority,Handshake,Tit For 2 Tats,,Predator,Fortress3,Level Punisher,0.960494774323877,63,101,134,Tricky Cooperator,2.42
0.661430548495244,Prober 2,Thumper,,,,,,Fool Me Once,,,,,,,,,,,,,,,,,,,,,,,,Winner12,,,,,,,,,,,Hard Tit For Tat,Resurrection,Cooperator Hunter,Bully,Fortress4,Tricky Cooperator,Opposite Grudger,Ripoff,GrudgerAlternator,Appeaser,Hard Go By Majority,Handshake,Tit For 2 Tats,,Predator,Fortress3,Level Punisher,0.3345597031675,25,101,47,Tricky Cooperator,2.38
0.618268981196361,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.406089676086577,36,188,192,Tricky Cooperator,2.42
0.786679266143659,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.879963658039393,97,188,186,Math Constant Hunter,2.4
0.689766924217567,DoubleResurrection,Predator,Slow Tit For Two Tats 2,Grudger,Average Copier,Appeaser,Level Punisher,$\pi$,Hard Prober,SolutionB5,ThueMorse,Tit For Tat,Tricky Defector,Calculator,Bully,Inverse,Stochastic Cooperator,Nice Average Copier,Winner12,Resurrection,Tit For 2 Tats,Random Hunter,Thumper,Soft Grudger,Prober,TF1,Forgetful Grudger,Winner21,SelfSteem,Tricky Cooperator,Negation,ThueMorseInverse,Aggravater,Fortress4,TF2,Defector Hunter,Cycler DDC,Prober 3,Defector,ALLCorALLD,GrudgerAlternator,Math Constant Hunter,Hard Tit For Tat,Prober 4,,Forgiving Tit For Tat,Better and Better,Desperate,Hard Tit For 2 Tats,Gradual,Eventual Cycle Hunter,Cycler DC,TF3,Suspicious Tit For Tat,Raider,VeryBad,Prober 2,,Alternator Hunter,0.634999940404721,63,188,43,Slow Tit For Two Tats 2,2.4
